protein1,protein2,Bait,Prey,GeneName,crisprKD,crisprContrast
9606.ENSP00000200457,9606.ENSP00000368970,Apa,Q15654,TRIP6,UFM1,TNFpos_iNOSneg-unsorted
9606.ENSP00000215570,9606.ENSP00000378588,Rv2469c,Q9Y5L4,TIMM13,TIMM9,TNFpos_iNOSneg-unsorted
9606.ENSP00000216122,9606.ENSP00000450607,Rv1827,P33992,MCM5,TIMELESS,TNFpos_iNOSneg-unsorted
9606.ENSP00000216122,9606.ENSP00000253462,Rv1827,P33992,MCM5,GINS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000216122,9606.ENSP00000482313,Rv1827,P33992,MCM5,RECQL4,TNFpos_iNOSneg-unsorted
9606.ENSP00000216122,9606.ENSP00000360609,Rv1827,P33992,MCM5,HSP90AB1,TNFpos_iNOSneg-unsorted
9606.ENSP00000216122,9606.ENSP00000209728,Rv1827,P33992,MCM5,CDC6,TNFpos_iNOSpos-unsorted
9606.ENSP00000216122,9606.ENSP00000477639,Rv1827,P33992,MCM5,NAGK,TNFpos_iNOSneg-unsorted
9606.ENSP00000216122,9606.ENSP00000307288,Rv1827,P33992,MCM5,MCM2,high_IFNB
9606.ENSP00000217244,9606.ENSP00000229214,Rv1816,P68400,CSNK2A1,KRR1,TNFpos_iNOSneg-unsorted
9606.ENSP00000217244,9606.ENSP00000225296,Rv1816,P68400,CSNK2A1,DHX33,TNFpos_iNOSneg-unsorted
9606.ENSP00000217244,9606.ENSP00000343535,Rv1816,P68400,CSNK2A1,USP7,TNFpos_iNOSneg-unsorted
9606.ENSP00000217244,9606.ENSP00000258149,Rv1816,P68400,CSNK2A1,MDM2,TNFpos_iNOSpos-unsorted
9606.ENSP00000217971,9606.ENSP00000263672,ESAT6,O00264,PGRMC1,SPCS2,TNFpos_iNOSneg-unsorted
9606.ENSP00000218348,9606.ENSP00000379182,Rv2401,P51784,USP11,RAE1,TNFpos_iNOSneg-unsorted
9606.ENSP00000218348,9606.ENSP00000343535,Rv2401,P51784,USP11,USP7,TNFpos_iNOSneg-unsorted
9606.ENSP00000220592,9606.ENSP00000398698,Lpqn,Q9UKV8,EIF2C2,TNF,TNFpos_iNOSneg-unsorted
9606.ENSP00000220592,9606.ENSP00000346015,Lpqn,Q9UKV8,EIF2C2,RPL27A,TNFpos_iNOSneg-unsorted
9606.ENSP00000220592,9606.ENSP00000363018,Lpqn,Q9UKV8,EIF2C2,RPL10A,TNFpos_iNOSneg-unsorted
9606.ENSP00000220592,9606.ENSP00000313007,Lpqn,Q9UKV8,EIF2C2,PABPC1,TNFpos_iNOSpos-unsorted
9606.ENSP00000221138,9606.ENSP00000261475,Rv1075c,P62714,PPP2CB,PPP2R3C,TNFpos_iNOSneg-unsorted
9606.ENSP00000221138,9606.ENSP00000300093,Rv1075c,P62714,PPP2CB,PLK1,TNFpos_iNOSneg-unsorted
9606.ENSP00000221138,9606.ENSP00000356807,Rv1075c,P62714,PPP2CB,TIPRL,TNFpos_iNOSneg-unsorted
9606.ENSP00000221138,9606.ENSP00000317334,Rv1075c,P62714,PPP2CB,TCP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000222005,9606.ENSP00000379182,Lpqr,Q16543,CDC37,RAE1,TNFpos_iNOSneg-unsorted
9606.ENSP00000222005,9606.ENSP00000430684,Lpqr,Q16543,CDC37,IKBKB,TNFpos_iNOSneg-unsorted
9606.ENSP00000222005,9606.ENSP00000360609,Lpqr,Q16543,CDC37,HSP90AB1,TNFpos_iNOSneg-unsorted
9606.ENSP00000222005,9606.ENSP00000319255,Lpqr,Q16543,CDC37,CHORDC1,TNFpos_iNOSneg-unsorted
9606.ENSP00000223029,9606.ENSP00000364794,Rv2469c,Q13155,AIMP2,IARS1,TNFpos_iNOSpos-unsorted
9606.ENSP00000231572,9606.ENSP00000364794,Rv2469c,P54136,RARS,IARS1,TNFpos_iNOSpos-unsorted
9606.ENSP00000245932,9606.ENSP00000458162,Apa,P50552,VASP,ACTB,TNFpos_iNOSneg-unsorted
9606.ENSP00000251413,9606.ENSP00000458162,Rv1804c,P23258,TUBG1,ACTB,TNFpos_iNOSneg-unsorted
9606.ENSP00000258091,9606.ENSP00000317334,Rv3722c,Q99832,CCT7,TCP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000258416,9606.ENSP00000351416,Lpqn,O60573,EIF4E2,ANKRD17,TNFpos_iNOSneg-unsorted
9606.ENSP00000261574,9606.ENSP00000446215,Cfp6,O00410,IPO5,RAN,TNFpos_iNOSneg-unsorted
9606.ENSP00000261965,9606.ENSP00000458162,Rv1804c,Q96CW5,TUBGCP3,ACTB,TNFpos_iNOSneg-unsorted
9606.ENSP00000261965,9606.ENSP00000265094,Rv1804c,Q96CW5,TUBGCP3,FBXW11,TNFpos_iNOSneg-unsorted
9606.ENSP00000262027,9606.ENSP00000429084,Rv2469c,P56192,MARS,UBR5,TNFpos_iNOSneg-unsorted
9606.ENSP00000262027,9606.ENSP00000364794,Rv2469c,P56192,MARS,IARS1,TNFpos_iNOSpos-unsorted
9606.ENSP00000262027,9606.ENSP00000425634,Rv2469c,P56192,MARS,HARS1,TNFpos_iNOSpos-unsorted
9606.ENSP00000262027,9606.ENSP00000362576,Rv2469c,P56192,MARS,YARS1,TNFpos_iNOSneg-unsorted
9606.ENSP00000263918,9606.ENSP00000317334,Rv1804c,O43815,STRN,TCP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000264033,9606.ENSP00000376345,Lpqn,P22681,CBL,GRB2,TNFpos_iNOSneg-unsorted
9606.ENSP00000264033,9606.ENSP00000253023,Lpqn,P22681,CBL,UBE2M,TNFpos_iNOSneg-unsorted
9606.ENSP00000264515,9606.ENSP00000337088,Rv1075c,Q15291,RBBP5,MEN1,high_IFNB
9606.ENSP00000264515,9606.ENSP00000395654,Rv1075c,Q15291,RBBP5,SMARCA4,TNFpos_iNOSneg-unsorted
9606.ENSP00000265056,9606.ENSP00000307288,Rv1827,P49736,MCM2,MCM2,high_IFNB
9606.ENSP00000265056,9606.ENSP00000300093,Rv1827,P49736,MCM2,PLK1,TNFpos_iNOSneg-unsorted
9606.ENSP00000265056,9606.ENSP00000450607,Rv1827,P49736,MCM2,TIMELESS,TNFpos_iNOSneg-unsorted
9606.ENSP00000265056,9606.ENSP00000253462,Rv1827,P49736,MCM2,GINS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000265056,9606.ENSP00000482313,Rv1827,P49736,MCM2,RECQL4,TNFpos_iNOSneg-unsorted
9606.ENSP00000265056,9606.ENSP00000209728,Rv1827,P49736,MCM2,CDC6,TNFpos_iNOSpos-unsorted
9606.ENSP00000265094,9606.ENSP00000270139,ESPR,Q9UKB1,FBXW11,IFNAR1,low_IFNB
9606.ENSP00000265094,9606.ENSP00000384273,ESPR,Q9UKB1,FBXW11,RELA,TNFpos_iNOSneg-unsorted
