PPI,Interactor,Crispr,PPI_symbol,Interactor_symbol,Crispr_symbol,PPI_bait,Interactor_dataset,Crispr_contrast
9606.ENSP00000349727,9606.ENSP00000376345,9606.ENSP00000360609,DOK3,GRB2,HSP90AB1,Apa,rna_model,TNFpos_iNOSneg
9606.ENSP00000349727,9606.ENSP00000376345,9606.ENSP00000432768,DOK3,GRB2,CKAP5,Apa,rna_model,TNFpos_iNOSneg
9606.ENSP00000349727,9606.ENSP00000376345,9606.ENSP00000373905,DOK3,GRB2,DNM2,Apa,rna_model,high_IFNB
9606.ENSP00000349727,9606.ENSP00000376345,9606.ENSP00000251968,DOK3,GRB2,TSG101,Apa,rna_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000418960,9606.ENSP00000300093,FUBP1,BRCA1,PLK1,Apa,methyl_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000346032,9606.ENSP00000376345,FUBP1,ANXA2,GRB2,Apa,snp_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000320171,9606.ENSP00000222247,FUBP1,PKM,RPL18A,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000320171,9606.ENSP00000346015,FUBP1,PKM,RPL27A,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000318177,9606.ENSP00000366604,FUBP1,,SF1,Apa,,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000418960,9606.ENSP00000482313,FUBP1,BRCA1,RECQL4,Apa,methyl_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000378851,9606.ENSP00000220849,FUBP1,MAPK1IP1L,EIF3E,Apa,atac_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000320171,9606.ENSP00000362413,FUBP1,PKM,PGK1,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000305556,9606.ENSP00000313007,FUBP1,PCBP1,PABPC1,Apa,protein_model,TNFpos_iNOSpos
9606.ENSP00000359804,9606.ENSP00000418960,9606.ENSP00000384273,FUBP1,BRCA1,RELA,Apa,methyl_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000358089,9606.ENSP00000379182,FUBP1,TIAL1,RAE1,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000418960,9606.ENSP00000415536,FUBP1,BRCA1,POLR2H,Apa,methyl_model,TNFpos_iNOSpos
9606.ENSP00000359804,9606.ENSP00000223029,9606.ENSP00000364794,FUBP1,,IARS,Apa,,TNFpos_iNOSpos
9606.ENSP00000359804,9606.ENSP00000418960,9606.ENSP00000395654,FUBP1,BRCA1,SMARCA4,Apa,methyl_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000264954,9606.ENSP00000419851,FUBP1,GRPEL1,GMPS,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000359804,9606.ENSP00000418960,9606.ENSP00000267415,FUBP1,BRCA1,TINF2,Apa,methyl_model,TNFpos_iNOSpos
9606.ENSP00000359804,9606.ENSP00000418960,9606.ENSP00000275053,FUBP1,BRCA1,MMS22L,Apa,methyl_model,high_IFNB
9606.ENSP00000359804,9606.ENSP00000418960,9606.ENSP00000294008,FUBP1,BRCA1,SLX4,Apa,methyl_model,high_IFNB
9606.ENSP00000359804,9606.ENSP00000418960,9606.ENSP00000325863,FUBP1,BRCA1,MRE11A,Apa,methyl_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000420714,SFPQ,EFTUD2,MRPS14,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000341885,SFPQ,EFTUD2,RPS2,Apa,protein_model,TNFpos_iNOSpos
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000272418,SFPQ,EFTUD2,MRPS5,Apa,protein_model,TNFpos_iNOSpos
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000308897,SFPQ,EFTUD2,MRPL11,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000464342,SFPQ,EFTUD2,RPL36,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000345957,SFPQ,EFTUD2,RPS21,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000363018,SFPQ,EFTUD2,RPL10A,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000222247,SFPQ,EFTUD2,RPL18A,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000346015,SFPQ,EFTUD2,RPL27A,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000354522,9606.ENSP00000055077,SFPQ,TOP1,RFC2,Apa,snp_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000199814,SFPQ,EFTUD2,RBM22,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000307863,9606.ENSP00000416951,SFPQ,U2AF2,ZC3H18,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000307863,9606.ENSP00000400591,SFPQ,U2AF2,SNRPE,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000307863,9606.ENSP00000215793,SFPQ,U2AF2,SF3A1,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000362649,9606.ENSP00000317334,SFPQ,HDAC1,TCP1,Apa,methyl_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000261531,9606.ENSP00000432768,SFPQ,SNW1,CKAP5,Apa,protein_model,TNFpos_iNOSneg
9606.ENSP00000349748,9606.ENSP00000307863,9606.ENSP00000485022,SFPQ,U2AF2,U2AF1,Apa,protein_model,TNFpos_iNOSpos
9606.ENSP00000349748,9606.ENSP00000392094,9606.ENSP00000252622,SFPQ,EFTUD2,LSM7,Apa,protein_model,TNFpos_iNOSneg
