"interaction","name","RoughBaitPath","selected","shared interaction","shared name","source","target"
"interacts with","9606.ENSP00000300589 (interacts with) 9606.ENSP00000358335",,"false","interacts with","9606.ENSP00000300589 (interacts with) 9606.ENSP00000358335","9606.ENSP00000300589","9606.ENSP00000358335"
"interacts with","9606.ENSP00000358335 (interacts with) 9606.ENSP00000222005",,"false","interacts with","9606.ENSP00000358335 (interacts with) 9606.ENSP00000222005","9606.ENSP00000358335","9606.ENSP00000222005"
"interacts with","9606.ENSP00000358335 (interacts with) 9606.ENSP00000392147",,"false","interacts with","9606.ENSP00000358335 (interacts with) 9606.ENSP00000392147","9606.ENSP00000358335","9606.ENSP00000392147"
"interacts with","9606.ENSP00000454207 (interacts with) 9606.ENSP00000376505",,"false","interacts with","9606.ENSP00000454207 (interacts with) 9606.ENSP00000376505","9606.ENSP00000454207","9606.ENSP00000376505"
"interacts with","9606.ENSP00000401399 (interacts with) 9606.ENSP00000454207",,"false","interacts with","9606.ENSP00000401399 (interacts with) 9606.ENSP00000454207","9606.ENSP00000401399","9606.ENSP00000454207"
"interacts with","9606.ENSP00000401399 (interacts with) 9606.ENSP00000264122",,"false","interacts with","9606.ENSP00000401399 (interacts with) 9606.ENSP00000264122","9606.ENSP00000401399","9606.ENSP00000264122"
"interacts with","9606.ENSP00000264122 (interacts with) 9606.ENSP00000264033",,"false","interacts with","9606.ENSP00000264122 (interacts with) 9606.ENSP00000264033","9606.ENSP00000264122","9606.ENSP00000264033"
"interacts with","9606.ENSP00000220751 (interacts with) 9606.ENSP00000358335",,"false","interacts with","9606.ENSP00000220751 (interacts with) 9606.ENSP00000358335","9606.ENSP00000220751","9606.ENSP00000358335"
"interacts with","9606.ENSP00000398698 (interacts with) 9606.ENSP00000376505",,"false","interacts with","9606.ENSP00000398698 (interacts with) 9606.ENSP00000376505","9606.ENSP00000398698","9606.ENSP00000376505"
"interacts with","9606.ENSP00000398698 (interacts with) 9606.ENSP00000220592",,"false","interacts with","9606.ENSP00000398698 (interacts with) 9606.ENSP00000220592","9606.ENSP00000398698","9606.ENSP00000220592"
"interacts with","9606.ENSP00000380073 (interacts with) 9606.ENSP00000354394",,"false","interacts with","9606.ENSP00000380073 (interacts with) 9606.ENSP00000354394","9606.ENSP00000380073","9606.ENSP00000354394"
"interacts with","9606.ENSP00000354394 (interacts with) 9606.ENSP00000216122",,"false","interacts with","9606.ENSP00000354394 (interacts with) 9606.ENSP00000216122","9606.ENSP00000354394","9606.ENSP00000216122"
"interacts with","9606.ENSP00000428338 (interacts with) 9606.ENSP00000444596",,"false","interacts with","9606.ENSP00000428338 (interacts with) 9606.ENSP00000444596","9606.ENSP00000428338","9606.ENSP00000444596"
"interacts with","9606.ENSP00000428338 (interacts with) 9606.ENSP00000376808",,"false","interacts with","9606.ENSP00000428338 (interacts with) 9606.ENSP00000376808","9606.ENSP00000428338","9606.ENSP00000376808"
