"betweenness","betweenness_pval","degree","degree.layout","degree_pval","eigen","eigen_pval","id","name","netPropOrigin","normBetwn","normDegree","normEigen","normPaths","normReach","npaths","npaths_pval","reach","reach_pval","roughBaitPath","selected","shared name","source","string","symbol"
"0.0","0.1438561","1.0",,"0.2167832","5.487074E-4","0.1398601","9606.ENSP00000300589","9606.ENSP00000300589",,"0.0","0.09818388","0.001131832","0.1296366","0.08320132","2","0.1398601","0.007142857","0.2147852","Rv1075c","false","9606.ENSP00000300589","crispr","9606.ENSP00000300589","NOD2"
"4.0","0.1838162","4.0",,"0.1678322","0.006875351","0.2617383","9606.ENSP00000358335","9606.ENSP00000358335","snp_model","0.6714687","0.9066002","0.1793948","0.8872639","0.7041713","8","0.1618382","0.03035714","0.3226773","Rv1075c","false","9606.ENSP00000358335","inpath","9606.ENSP00000358335","MAP3K7"
"0.0","0.3126873","12.0",,"0.01698302","0.0510194","0.09090909","9606.ENSP00000222005","9606.ENSP00000222005",,"0.0","2.512486","1.775354","4.062833","3.037609","28","0.04595405","0.1339286","0.004995005","Lpqr","false","9606.ENSP00000222005","ppi","9606.ENSP00000222005","CDC37"
"0.0","0.1438561","4.0",,"0.07892108","0.03403194","0.05694306","9606.ENSP00000392147","9606.ENSP00000392147",,"0.0","1.478548","16.93649","2.622951","6.728526","10","0.1228771","0.075","0.003996004","Rv1075c","false","9606.ENSP00000392147","ppi","9606.ENSP00000392147","PPP6C"
"2.0","0.4335664","2.0",,"0.4885115","1.421897E-4","0.5864136","9606.ENSP00000454207","9606.ENSP00000454207","protein_model","0.4393147","0.5894309","0.03135212","1.085239","0.5948347","6","0.2827173","0.01071429","0.5654346","Rv1804c","false","9606.ENSP00000454207","crispr","9606.ENSP00000454207","CAP1"
"0.0","0.1058941","3.0",,"0.05794206","0.00170983","0.1038961","9606.ENSP00000376505","9606.ENSP00000376505",,"0.0","2.529412","3.537486","2.168067","1.750549","6","0.04495504","0.01071429","0.1668332","Rv1804c","false","9606.ENSP00000376505","ppi","9606.ENSP00000376505","TANK"
"4.0","0.08091908","3.0",,"0.03896104","7.182037E-5","0.2687313","9606.ENSP00000401399","9606.ENSP00000401399","protein_model","0.5841825","0.8506998","0.01355141","0.9644431","0.5934344","6","0.05094905","0.01071429","0.1658342","Rv1804c","false","9606.ENSP00000401399","crispr","9606.ENSP00000401399","MYD88"
"2.0","0.1098901","2.0",,"0.1628372","6.672236E-4","0.2867133","9606.ENSP00000264122","9606.ENSP00000264122","methyl_model","0.3052858","0.4937471","0.04903963","0.4952381","0.8245937","4","0.1238761","0.03035714","0.2047952","Lpqn","false","9606.ENSP00000264122","inpath","9606.ENSP00000264122","CBLB"
"0.0","0.8731269","14.0",,"0.05894106","0.008288549","0.7192807","9606.ENSP00000264033","9606.ENSP00000264033","rna_model","0.0","3.960159","0.817977","3.365688","3.082347","21","0.4445554","0.08571429","0.3596404","Lpqn","false","9606.ENSP00000264033","ppi","9606.ENSP00000264033","CBL"
"0.0","0.01798202","1.0",,"0.06693307","5.487074E-4","0.07092907","9606.ENSP00000220751","9606.ENSP00000220751","snp_model","0.0","0.2857143","0.06474384","0.3993344","0.3230248","2","0.04495504","0.007142857","0.07092907","Rv1075c","false","9606.ENSP00000220751","crispr","9606.ENSP00000220751","RIPK2"
"0.0","0.1488511","2.0",,"0.1448551","0.01707392","0.04395604","9606.ENSP00000398698","9606.ENSP00000398698","rna_model","0.0","0.4853933","1.250617","0.178919","1.016205","2","0.1678322","0.03571429","0.04495504","Rv1804c","false","9606.ENSP00000398698","crispr","9606.ENSP00000398698","TNF"
