From	Entry	Entry Name	Gene Names
9606.ENSP00000002596	O14792	HS3S1_HUMAN	HS3ST1 3OST 3OST1
9606.ENSP00000005257	P11233	RALA_HUMAN	RALA RAL
9606.ENSP00000005284	O60359	CCG3_HUMAN	CACNG3
9606.ENSP00000005340	O14641	DVL2_HUMAN	DVL2
9606.ENSP00000006658	Q8TB22	SPT20_HUMAN	SPATA20
9606.ENSP00000007722	P26006	ITA3_HUMAN	ITGA3 MSK18
9606.ENSP00000008391	Q7Z6R9	AP2D_HUMAN	TFAP2D TFAP2BL1
9606.ENSP00000009041	O95772	STR3N_HUMAN	STARD3NL MENTHO UNQ855/PRO1864
9606.ENSP00000009105	Q96NX5	KCC1G_HUMAN	CAMK1G CLICK3 VWS1
9606.ENSP00000009530	P04233	HG2A_HUMAN	CD74 DHLAG
9606.ENSP00000011653	P01730	CD4_HUMAN	CD4
9606.ENSP00000011898	O75954	TSN9_HUMAN	TSPAN9 NET5
9606.ENSP00000012443	P53041	PPP5_HUMAN	PPP5C PPP5
9606.ENSP00000014914	Q8NFJ5	RAI3_HUMAN	GPRC5A GPCR5A RAI3 RAIG1
9606.ENSP00000017003	Q9H1B5	XYLT2_HUMAN	XYLT2 XT2 UNQ3058/PRO9878
9606.ENSP00000027335	Q12864	CAD17_HUMAN	CDH17
9606.ENSP00000035307	Q9P2E5	CHPF2_HUMAN	CHPF2 CHSY3 CSGLCAT KIAA1402 UNQ299/PRO339
9606.ENSP00000035383	Q96NW7	LRRC7_HUMAN	LRRC7 KIAA1365 LAP1
9606.ENSP00000039989	Q96AE7	TTC17_HUMAN	TTC17
9606.ENSP00000044462	P25789	PSA4_HUMAN	PSMA4 HC9 PSC9
9606.ENSP00000046087	Q9BS86	ZPBP1_HUMAN	ZPBP ZPBP1
9606.ENSP00000046794	Q13094	LCP2_HUMAN	LCP2
9606.ENSP00000052754	P07585	PGS2_HUMAN	DCN SLRR1B
9606.ENSP00000053468	P82664	RT10_HUMAN	MRPS10 MSTP040
9606.ENSP00000054666	Q15836	VAMP3_HUMAN	VAMP3 SYB3
9606.ENSP00000055077	P35250	RFC2_HUMAN	RFC2
9606.ENSP00000056217	Q12774	ARHG5_HUMAN	ARHGEF5 TIM
9606.ENSP00000061240	O43897	TLL1_HUMAN	TLL1 TLL
9606.ENSP00000070846	Q99959	PKP2_HUMAN	PKP2
9606.ENSP00000078429	P29992	GNA11_HUMAN	GNA11 GA11
9606.ENSP00000085219	P20273	CD22_HUMAN	CD22 SIGLEC2
9606.ENSP00000155840	P51787	KCNQ1_HUMAN	KCNQ1 KCNA8 KCNA9 KVLQT1
9606.ENSP00000155926	Q92519	TRIB2_HUMAN	TRIB2 TRB2
9606.ENSP00000156471	O60306	AQR_HUMAN	AQR KIAA0560
9606.ENSP00000156626	Q9NSC7	SIA7A_HUMAN	ST6GALNAC1 SIAT7A UNQ543/PRO848
9606.ENSP00000157812	P43686	PRS6B_HUMAN	PSMC4 MIP224 TBP7
9606.ENSP00000158762	Q15027	ACAP1_HUMAN	ACAP1 CENTB1 KIAA0050
9606.ENSP00000160373	Q8WZ74	CTTB2_HUMAN	CTTNBP2 C7orf8 CORTBP2 KIAA1758
