MouseSymbol,mouseUPID
A1bg,A0A2I3BQV2
A1cf,Q5YD48
A2m,Q6GQT1
A3galt2,Q3V1N9
A4galt,Q3UF00
A4gnt,Q14BT6
Aaas,P58742
Aacs,Q9D2R0
Aadac,Q99PG0
Aadacl2,B2RWD2
Aadacl3,A2A7Z8
Aadacl4,B9EKM6
Aadacl4fm1,Q8BM81
Aadacl4fm2,A2A752
AAdacl4fm3,B1AVU7
Aadacl4fm4,B1AVU6
Aadacl4fm5,B1ASB3
Aadat,Q3UNS8
Aagab,Q8R2R3
Aak1,Q3UHJ0
Aamdc,Q8R0P4
Aamp,Q8K2C1
Aanat,Q9Z2W3
Aar2,Q9D2V5
Aard,Q811W1
Aars,Q8BGQ7
Aars2,Q14CH7
Aarsd1,Q3THG9
Aasdh,Q80WC9
Aasdhppt,Q9CQF6
Aass,Q99K67
Aatf,Q9JKX4
Aatk,Q80YE4
Abat,P61922
Abca1,P41233
Abca12,Q8CJA1
Abca13,Q5SSE9
Abca17,E9PX95
Abca2,Q6ZPZ4
Abca3,Q8R420
Abca4,Q80VS6
Abca5,Q8K448
Abca6,Q8K441
Abca7,Q91V24
Abca8a,Q8K442
Abca8b,Q8K440
Abca9,Q8K449
Abcb1a,P21447
Abcb1b,B2RUR3
Abcb10,Q9JI39
Abcb11,Q9QY30
Abcb4,P21440
Abcb5,B5X0E4
Abcb6,Q9DC29
Abcb7,Q61102
Abcb8,Q9CXJ4
Abcb9,Q9JJ59
Abcc1,Q9JL41
Abcc10,Q8R4P9
Abcc12,Q80WJ6
Abcc2,Q8VI47
Abcc3,B2RX12
Abcc4,E9Q236
Abcc5,Q9R1X5
Abcc6,Q9R1S7
Abcc8,Q9JL44
Abcc9,P70170
Abcd1,P48410
Abcd2,Q61285
Abcd3,Q9DBZ6
Abcd4,O89016
Abce1,P61222
Abcf1,Q6P542
Abcf2,Q99LE6
Abcf2,Q99LE6
Abcf3,Q8K268
Abcg1,Q0VDW9
Abcg2,Q7TMS5
Abcg3,Q99P81
Abcg4,Q91WA9
Abcg5,Q99PE8
Abcg8,Q9DBM0
Abhd1,A0A571BE63
Abhd10,Q6PE15
Abhd11,D3YYK0
Abhd12,Q99LR1
Abhd12b,S4R2K4
Abhd13,Q80UX8
Abhd14a,Q922Q6
Abhd14b,E9QN99
Abhd15,Q5F2F2
Abhd16a,G3UX11
Abhd16b,Q80YU0
Abhd17a,Q99JW1
Abhd17b,Q7M759
Abhd17c,Q8VCV1
Abhd18,Q8C1A9
Abhd2,Q9QXM0
Abhd3,Q91ZH7
Abhd4,Q99KW5
Abhd5,Q9DBL9
Abhd6,Q8R2Y0
Abhd8,Q8R0P8
Abi1,Q8CBW3
Abi2,P62484
Abi3,Q8BYZ1
Abi3bp,Q8R0M1
Abitram,Q80ZQ9
Abl1,P00520
Abl2,Q99P28
Ablim1,Q8K4G5
Ablim2,Q8BL65
Ablim3,Q69ZX8
Abo,P38649
Abr,Q5SSL4
Abra,Q8BUZ1
Abracl,Q4KML4
Abraxas1,Q8BPZ8
Abraxas2,Q3TCJ1
Abt1,Q9QYL7
Abtb1,Q99LJ2
Abtb2,Q8CCZ2
Abtb3,Q6GQW0
Acaa1a,Q8R343
Acaa1b,Q3UKM0
Acaa2,Q8BWT1
Acaca,Q5SWU9
Acacb,Q9ESZ3
Acad10,Q8K370
Acad12,Q8BLZ1
Acad11,Q80XL6
Acad8,Q9D7B6
Acad9,Q8JZN5
Acadl,P51174
Acadm,P45952
Acads,Q07417
Acadsb,Q7TMY2
Acadvl,P50544
Acan,Q61282
Acap1,Q8K2H4
Acap2,Q6ZQK5
Acap3,Q8C8T5
Acat1,Q8QZT1
Acat2,Q8CAY6
Acat3,Q80X81
Acbd3,Q8BMP6
Acbd4,Q9CVH3
Acbd5,Q5XG73
Acbd6,Q9D061
Acbd7,Q9D258
Accs,A2AIG8
Accsl,Q3UX83
Acd,Q5EE38
Ace,P09470
Ace2,Q8R0I0
Ace3,D0G895
Acer1,Q8R4X1
Acer2,Q8VD53
Acer3,Q9D099
Ache,Q543Z1
Acin1,Q9JIX8
Ackr1,Q9QUI6
Ackr2,O08707
Ackr3,P56485
Ackr4,Q924I3
Acly,Q99K05
Acmsd,Q8R519
Aco1,P28271
Aco2,Q99KI0
Acod1,P54987
Acot1,O55137
Acot2,Q9QYR9
Acot3,Q9QYR7
Acot5,Q6Q2Z6
Acot11,Q8CAL6
Acot12,Q9DBK0
Acot13,Q4VA32
Acot1,O55137
Acot2,Q9QYR9
Acot3,Q9QYR7
Acot5,Q6Q2Z6
Acot4,Q8BWN8
Acot6,Q32Q92
Acot7,Q91V12
Acot8,P58137
Acot10,Q32MW3
Acot9,Q9R0X4
Acox1,Q9R0H0
Acox2,Q9QXD1
Acox3,Q9EPL9
Acoxl,Q9DBS4
Acp1,Q9D358
Acp2,P24638
Acpp,Q8CE08
Acp4,F6WRF1
Acp5,Q05117
Acp6,Q8BP40
Acp7,B2RRA7
Acr,Q3ZB06
Acrbp,Q3V140
Acrv1,P50289
Acsbg1,Q99PU5
Acsbg2,Q2XU92
Acsf2,Q8VCW8
Acsf3,Q3URE1
Acsl1,P41216
Acsl3,Q9CZW4
Acsl4,Q9QUJ7
Acsl5,Q9D9S0
Acsl6,Q91WC3
Acsm1,Q91VA0
Acsm2,Q8K0L3
Acsm2,Q8K0L3
Acsm3,Q3UNX5
Acsm4,Q80W40
Acsm5,Q8BGA8
Acss1,Q99NB1
Acss2,Q9QXG4
Acss3,Q14DH7
Acta1,P68134
Acta2,P62737
Actb,P60710
Actbl2,Q8BFZ3
Actc1,P68033
Acte1,J3QK70
Actg1,Q3UD81
Actg2,P63268
Actl10,A2AKE7
Actl11,Q9D5V1
Actl6a,Q9Z2N8
Actl6b,Q99MR0
Actl7a,Q9QY84
Actl7b,Q9QY83
Actl9,Q8CG27
Actmap,J3QPC3
Actn1,Q99LJ3
Actn2,Q9JI91
Actn3,O88990
Actn4,Q8BP35
Actr10,Q9QZB7
Actr1a,P61164
Actr1b,Q8R1B2
Actr2,P61161
Actr3,Q99JY9
Actr3b,Q641P0
Actr5,Q80US4
Actr6,Q9D864
Actr8,Q8R2S9
Actrt1,Q9D9J3
Actrt2,Q9D9L5
Actrt3,Q8BXF8
Acvr1,P37172
Acvr1b,Q3TZF1
Acvr1c,Q8K348
Acvr2a,Q8BRV4
Acvr2b,P27040
Acvrl1,Q61288
Acy1,Q99JW2
Acy3,Q91XE4
Acyp1,P56376
Acyp2,P56375
Ada,Q4FK28
Adad1,Q5SUE7
Adad2,Q9D5P4
Adal,Q80SY6
Adam10,O35598
Adam11,Q9R1V4
Adam12,Q61824
Adam15,O88839
Adam17,Q9Z0F8
Adam18,Q9R157
Adam19,Q80UF6
Adam1a,Q60813
Adam1b,Q8R534
Adam2,Q60718
Adam20,Q7M763
Adam25,Q9R159
Adam39,Q9CVR7
Adam21,Q9JI76
Adam22,Q9R1V6
Adam23,Q9R1V7
Adam24,Q9R160
Adam28,Q9JLN6
Adam29,Q80ZN7
Adam30,S5ML04
Adam32,Q8K410
Adam33,Q923W9
Adam3,S5MZ95
Adam5,Q3TTE0
Adam6a,S5MZ67
Adam7,O35227
Adam8,Q8R3D3
Adam9,Q61072
Adamdec1,Q3U0T4
Adamts1,P97857
Adamts10,P58459
Adamts12,Q811B3
Adamts13,Q769J6
Adamts14,Q3UV61
Adamts15,P59384
Adamts16,Q69Z28
Adamts17,Q3V310
Adamts18,Q4VC17
Adamts19,Q8BNI0
Adamts2,Q5DTQ6
Adamts20,P59511
Adamts3,Q8BIB2
Adamts4,Q8BNJ2
Adamts5,Q9R001
Adamts6,Q8C9R1
Adamts7,Q68SA9
Adamts8,Q99JP1
Adamts9,Q8CDB8
Adamtsl1,Q8BLI0
Adamtsl2,Q7TSK7
Adamtsl3,Q5DTZ4
Adamtsl4,Q80T21
Adamtsl5,Q9CRC7
Adap1,Q8BVS1
Adap2,Q5SSK2
Adar,Q99MU3
Adarb1,Q91ZS8
Adarb2,Q9JI20
Adat1,Q9JHI2
Adat2,Q6P6J0
Adat3,A0A1Y7VM73
Adck1,Q9D0L4
Adck2,Q6NSR3
Adck5,Q80V03
Adcy1,O88444
Adcy10,Q8C0T9
Adcy2,Q80TL1
Adcy3,Q8VHH7
Adcy4,Q5DTS7
Adcy5,P84309
Adcy6,F8VQ52
Adcy7,P51829
Adcy8,P97490
Adcy9,P51830
Adcyap1,Q8BJT8
Adcyap1r1,Q8BLT3
Add1,Q9QYC0
Add2,Q9QYB8
Add3,Q9QYB5
Adgb,G3UZ78
Adgra1,Q8C4G9
Adgra2,Q91ZV8
Adgra3,Q7TT36
Adgrb1,Q3UHD1
Adgrb2,Q8CGM1
Adgrb3,Q80ZF8
Adgrd1,Q80T32
Adgre1,Q6LCD7
Adgre5,Q9Z0M6
Adgre4,Q91ZE5
Adgre5,Q9Z0M6
Adgrf1,Q8VEC3
Adgrf2,E9Q4J9
Adgrf3,Q58Y75
Adgrf4,Q9D2L6
Adgrf5,Q8BZJ9
Adgrg1,Q8K209
Adgrg2,Q8CJ12
Adgrg3,Q8R0T6
Adgrg4,B7ZCC9
Adgrg5,Q3V3Z3
Adgrg6,Q6F3F9
Adgrg7,Q8BM96
Adgrl1,Q80TR1
Adgrl2,Q8JZZ7
Adgrl3,Q80TS3
Adgrl4,Q923X1
Adgrv1,Q8VHN7
Adh1,Q3UKA4
Adh1,Q3UKA4
Adh1,Q3UKA4
Adh4,Q9QYY9
Adh5,P28474
Adh6b,Q3UQ40
Adh7,Q9D748
Adhfe1,Q8R0N6
Adi1,Q99JT9
Adig,A2ACC4
Adipoq,Q60994
Adipor1,Q91VH1
Adipor2,Q8BQS5
Adissp,Q9D1K7
Adk,P55264
Adm,P97297
Adm2,Q7TNK8
Adnp,Q9Z103
Adnp2,Q8CHC8
Ado,Q6PDY2
Adora1,Q60612
Adora2a,Q60613
Adora2b,Q60614
Adora3,Q61618
Adpgk,Q3UDS7
Adprh,Q9CTF5
Adprhl1,Q8BGK2
Adprm,Q99KS6
Adprs,Q8CG72
Adra1a,P97718
Adra1b,Q9DBL0
Adra1d,P97714
Adra2a,Q01338
Adra2b,P30545
Adra2c,Q01337
Adrb1,P34971
Adrb2,P18762
Adrb3,P25962
Adrm1,Q9JKV1
Adrm1b,D3YUD8
Adsl,P54822
Adssl1,P28650
Adss,P46664
Adtrp,Q8C138
Aebp1,Q640N1
Aebp2,Q9Z248
Aen,Q9CZI9
Afap1,Q80YS6
Afap1l1,Q8BZI0
Afap1l2,Q5DTU0
Afdn,Q3TLN8
Aff1,Q8CDA0
Aff2,O55112
Aff3,P51827
Aff4,Q9ESC8
Afg1l,Q3V384
Afg3l1,Q920A7
Afg3l2,Q9D736
Afm,O89020
Afmid,Q8K4H1
Afp,P02772
Aftph,Q80WT5
Aga,B7ZNK6
Agap1,Q8BXK8
Agap1,Q8BXK8
Agap2,Q3UHD9
Agap3,Q8VHH5
Agap1,Q8BXK8
Agap1,Q8BXK8
Agap1,Q8BXK8
Agbl1,Q09M05
Agbl2,Q8CDK2
Agbl3,Q8CDP0
Agbl4,Q09LZ8
Agbl5,Q09M02
Ager,Q62151
Agfg1,Q8K2K6
Agfg2,Q80WC7
Aggf1,Q7TN31
Agk,Q9ESW4
Agl,Q8CE68
Agmat,A2AS89
Agmo,Q8BS35
Ago1,Q8CJG1
Ago2,Q8CJG0
Ago3,Q8CJF9
Ago4,Q8CJF8
Agpat1,O35083
Agpat2,Q9CWA8
Agpat3,Q9D517
Agpat4,Q8K4X7
Agpat5,Q9D1E8
Agps,Q8BKC4
Agr2,O88312
Agr3,Q8R3W7
Agrn,A2ASQ1
Agrp,P56473
Agt,Q8VCN0
Agtpbp1,Q641K1
Agtr1a,A0A1Y7VMR7
Agtr1b,Q8BU69
Agtr2,Q3US12
Agtrap,Q9WVK0
Agxt,O35423
Agxt2,Q3UEG6
Ahctf1,Q8CJF7
Ahcy,P50247
Ahcyl1,F7ATQ6
Ahcyl2,Q68FL4
Ahdc1,Q6PAL7
Ahi1,Q8K3E5
Ahnak,Q8VDN3
Ahnak2,Q3UUE0
Ahr,P30561
Ahrr,Q3U1U7
Ahsa1,Q8BK64
Ahsa2,Q8N9S3
Ahsg,P29699
Ahsp,Q9CY02
Aicda,Q546Y8
Aida,Q8C4Q6
Aif1,Q4FJL9
Aif1l,Q9EQX4
Aifm1,Q9Z0X1
Aifm2,Q8BUE4
