nodes	snp_model	atac_model	methyl_model	rna_model	protein_model
ARF5	0.0193820026016113	0	0	0.0407840495481993	0.038172691515115
M6PR	0.414484869061778	0	0.0247695529947261	0.118013031106422	0.00476511663338453
FKBP4	0.898797659455641	0.126397392469221	0.0319905190769376	0.0361218266977342	0.000596698881634311
CYP26B1	2.11353994364357	0	0.286334960455998	0	0
NDUFAF7	0.384775539310863	0.31630540275819	0.240621512893412	0.0139775254194641	0
FUCA2	0.832329685968159	0	0.263298673182815	0.241553000118779	0.0792058715554232
HS3ST1	3.39794000867204	0	0.884933960869615	0.0257303107923508	0
SEMA3F	0.862746583357597	0.314728963388282	0.0277356922554041	0.0448852501385301	0
CFTR	0.109959463326124	0	0.214355083249226	0	0
CYP51A1	0.461730647173036	0	0	0.157988933757983	0
USP28	1.82144199392957	0.150692041372678	0.271259853631173	0.132410714859916	0
SLC7A2	1.81036596739887	0.226761191212897	0.125239959304353	0	0
PDK4	0.709859494499138	0	0.124016280024759	0.137035375391451	0
USH1C	1.26802132162335	0	0.115579330991615	0	0
RALA	0.237223246843128	0	0.357018992791329	0.00189910692248522	0.107627133
BAIAP2L1	0.633803120088516	0	0.237447673343985	0.074162964012411	0
CACNG3	3.51135263288594	0.97272601603706	0.646444231911976	0	0
TMEM132A	0.633628088589606	0	0.203106260407701	0.00170273153324384	0
DVL2	0.15070028384084	0	0.517504378283124	0.0721181295609903	0
RPAP3	0.9	0.0113324825921154	0.27118634767146	0.00928970118854596	0
SKAP2	0.370758933424943	0.0242329905386309	0.267399358143663	0.0952751961901033	6.73329679211402e-05
PRSS21	0.644573127766663	0	0.460079043540052	0	0
HOXA11	0.0130768280269024	0	0.0342725314422217	0	0
CX3CL1	0.248095861354086	0	0.0881375440285838	0	0
TRAPPC6A	0.247915503315358	0	0	0.00676251109698231	0
WDR54	0.210108201691595	0	0.102739017579791	0.0126344250135663	0
SPATA20	0.663951071032141	0	0.351175782393415	0.527006483982345	0
CEACAM7	0.0433725487960081	0	0	0	0
RHBDD2	0.0976134498311968	0	0.512472511843861	0.080204213745631	0
TSR3	0.000132282657337552	0	0.014542772600071	0.00515673501269796	0
OSBPL7	0.940131511124052	0	0.0605127702159391	0.293328283980371	0
YBX2	0	0	0.228988232017152	0	0
ITGA3	2.93791097226266	0	0.0416916105401641	0.247385212290733	0
KRT33A	0	1.15679899662751	0.252851837374231	0	0
TFAP2D	1.34992648392996	0.888226307176053	0.272862704980235	0	0
CRY1	0.828969738123556	0	0.0415616399629161	0.0223347697574321	0
PGLYRP1	0.363736684761454	0	0.204171587646293	0	0
STARD3NL	4.57802819677264	0.118317809154355	0.145520797569692	0.0315990589966045	0.0655187769546414
CAMK1G	1.5366550031619	0.15206899930578	0.179107903794925	1.47109178356534	0
CD74	0.371873254973036	0	0.245521027851612	0.000226705295643067	0.0886256500503734
FAM76A	1.40098930475252	0.0951371356769475	0.530148658810415	0.0996175287073977	0
CPA1	1.20487247933302	0	0.0391696851588568	0	0
SYPL1	1.1454386207464	0	0.406744358196926	0.0364226416145476	0.000304348945956186
RANBP9	0.96372549672147	0	0.199798739702889	0.000368638736385146	0
CD4	1.1454386207464	0.387808425848218	0.12981518792532	0.314273581353375	0.0244956405599823
TSPAN9	3.41261019958051	0.53008664106895	0.361863732939618	0.0200316761405072	0
QPCTL	0.0904201703045039	0	0.0271174731621833	0.0561780872705101	0
PPP5C	0.222762196791346	1.4930590964704	0.493850973317038	0.0468871708630193	0
UBR7	0.464036005181452	0	0.285371309840667	0.000320866457823797	0
MAP4K5	1.00666842315965	0	0.172718687236308	0.311036943242026	0
INMT	0	0	0.0631452161417714	0	0
ERCC1	0.140406396487004	0	0.127231377447977	0.180242218634617	0
GPRC5A	0.881112649774647	0	0.241857124434602	1.32098461096571	0
HEBP1	0.669728699598873	0	0.0515598425209511	0.0123335621741324	0.0592090596878647
COX15	0.552182869352109	0	0	0.00837752442207617	0
MS4A12	0.156863623584101	0	0.0412109449949997	0	0
RGPD5	0.00163834430715626	0	0	0.102186315958513	0
XYLT2	11.6424709247437	0	0.824336860591099	0.000552338640047664	0
SCTR	1.20487247933302	0	0.119330024458623	0	0
RALBP1	0.963522966857136	0	0.69766903345402	0.0150798256564911	0
PSD	0.180617997398389	0	0.210767439656026	0.172033682603054	0
SYT13	0.830443000041143	0.0937780539831535	0.227823910533665	0	0
SLC7A9	0.676031393596821	0.0316174009199571	0.201722732274275	0	0
RTFDC1	0	0	0	0.00148002304905835	0
RB1CC1	0.931705181194669	0	0.348508909689593	0.106082093697524	0
AKAP11	2.18645047107266	0	0.457381300692853	0.0002462091303165	0
PIGQ	0.0267606240177032	0	0.118920487968967	0.000325484601553328	0
CDH17	1.44185399219517	0	0.214524886843037	0	0
B4GALT7	1.37102512038924	0	0.202376916812939	0.0775772964926156	0
FAM13B	0.523349359168934	0	0.438843429818042	2.20308266665924e-05	0
CHPF2	0.0311564772606907	0	0.617935720167014	0.000152029314468668	0
LRRC7	1.17205170363208	0	0.527250214086855	0.000872178755135673	0
GABARAPL2	0.0693574972449313	0	0	0.0344548902841177	0
MYOC	1.36022920708077	0.0612902970999462	0.022405878999166	0	0
FAM136A	0.544083344854542	0.324665074224176	0.115508081005517	0.00236027267619556	0
OTC	0	0	0	0	0
TTC17	0.495831006630715	0.524439209109875	0.0906054784857826	0.00137506956451431	0
HOXC8	0.00137272471682025	0	0	0	0
MRI1	0.288368059330512	0	0.162586641424822	0.0352451317968511	0.00494783304080976
BOD1L1	0.108420520118474	0	0.0565288154515796	0.00167565810426695	0
TARBP1	2.93791097226266	0.13311407522905	0.171888719686117	0.0154199831150992	0
RTN4R	1.22089259116243	0	0.155026938594051	0.216697233575891	0
PSMA4	0.0519274621011512	0	0.199364933631618	0.00968499159016369	0.25310701662679
ZPBP	0.512323178593057	0.853196509632518	0.281320010624444	0	0
LCP2	1.58502665202918	0	0.8806703230088	0.0138921107998742	1.73781332614925
DCN	2.83128172579476	0	0.42618167221673	0	0
TNFRSF17	0.331494751422855	0.0175610848495532	0	0.0032070461534591	0
MRPS10	4.1830299622427	1.60570900114966	0.0659924264461744	0.25155457790138	0
GRN	0.327210371633448	0	0.269644167576195	0.0705318236847519	0
THAP3	1.00726776694729	0.11317060402704	0.178269081546522	0.00754902671178528	0
VAMP3	0.659126992755455	0.106902323364195	0.142511840129723	0.0271179873634054	1.824748437
UTS2	0.553116594761035	0.00144203945288174	0.164959510183967	0.00128183312952298	0
RCN1	0.411954370472159	2.84764184174863	0.24095573801232	5.86270961665178e-05	0.0754251792798123
RFC2	0.157818556602671	0	1.32222024879472	0.00302973908960494	0
PPP1R3F	0	0	0	0.105368040302837	0
KIAA2022	0	0	0	0.237064483345283	0
ARHGEF5	0.0102372908709559	0	0.0591778497186452	0.502875554951243	0
NFE2L3	1.10951865642043	0	0.256235308602633	0.000733702657044642	0
TLL1	3.92968313743259	0	0.32503020156459	0	0
NNAT	0	0	0	0.0106448515517515	0
CBLN4	0.98925760514965	0	0.149802729429848	0	0
CLDN11	0.3625198460155	0	0.279988352049452	0	0
FAM168A	0.4	0	0.632887487128428	0.012453760461827	0
RELT	0.182437849657068	0	0.267433261481645	0.0700645005518344	0
PKP2	5.8364846048324	0	0.107991157766398	0.41041118705628	0
YIPF1	0.4	0.118309130514118	0.0348740287458459	0.0320776467757967	0
ADCK2	0.559442898135512	0	0.0969786687718813	0.029174494612912	0
INPP4A	0.556184402640663	0.346070747611993	0.318737760453024	0.00412244625887741	0.0274796227492166
SLC2A3	1.12663077569442	0.037762814261971	0.243011251054194	0.00348705796305263	0
STYK1	0.76688585187342	0.359965263438935	0.462591525494439	0.0010650166944483	0
GNA11	4.41788313409046	0.906799695992604	0.351346046488956	0.001149012301551	0
CREB3L3	1.0744380234145	0	0.152411628948386	0	0
HDAC7	1.27819476304487	0.0920035560993683	0.248024166402076	0.0136329782534908	0
MRPS35	0.531633988615898	0	0.0394875501264596	0.0929469250181083	0.012912071041342
APPBP2	0.948151078478152	0	0.0901546802120654	0.0171808389969988	0
