From,To
Q19LI2,P04217
Q5YD48,Q9NQ94
Q6GQT1,P01023
Q3V1N9,U3KPV4
Q67BJ4,Q9NPC4
Q14BT6,Q9UNA3
P58742,Q9NRG9
Q9D2R0,Q86V21
Q99PG0,P22760
B2RWD2,Q6P093
A2A7Z8,Q5VUY0
B1AVU5,Q5VUY2
Q8BM81,Q5VUY2
A2A752,Q5VUY2
B1AVU7,Q5VUY2
B1AVU6,Q5VUY2
B1ASB3,Q5VUY2
Q9WVM8,Q8N5Z0
Q8R2R3,Q6PD74
Q3UHJ0,Q2M2I8
Q8R0P4,Q9H7C9
J3QN89,Q13685
O88816,Q16613
Q9D2V5,Q9Y312
Q811W1,Q4LEZ3
Q8BGQ7,P49588
Q14CH7,Q5JTZ9
Q3THG9,Q9BTE6
Q80WC9,Q4L235
Q9CQF6,Q9NRN7
Q99K67,Q9UDR5
Q9JKX4,Q9NY61
Q80YE4,Q6ZMQ8
P61922,P80404
P41233,O95477
E9Q876,Q86UK0
Q5SSE9,Q86UQ4
E9PX95,
P41234,Q9BZC7
Q8R420,Q99758
O35600,P78363
Q8K448,Q8WWZ7
Q8K441,Q8N139
Q91V24,Q8IZY2
Q8K442,O94911
Q8K440,O94911
Q8K449,Q8IUA7
P21447,P08183
P06795,P08183
Q9JI39,Q9NRK6
Q9QY30,O95342
P21440,P21439
B5X0E4,Q2M3G0
Q9DC29,Q9NP58
Q61102,O75027
Q9CXJ4,Q9NUT2
Q9JJ59,Q9NP78
O35379,P33527
Q8R4P9,Q5T3U5
Q80WJ6,Q96J65
Q8VI47,Q92887
B2RX12,O15438
E9Q236,O15439
Q9R1X5,O15440
Q9R1S7,O95255
B2RUS7,Q09428
P70170,O60706
P48410,P33897
Q61285,Q9UBJ2
P55096,P28288
O89016,O14678
P61222,P61221
Q6P542,Q8NE71
Q99LE6,Q9UG63
Q99LE6,
Q8K268,Q9NUQ8
Q64343,P45844
Q7TMS5,Q9UNQ0
Q99P81,Q9UNQ0
Q91WA9,Q9H172
Q99PE8,Q9H222
Q9DBM0,Q9H221
Q9QZC8,Q96SE0
Q6PE15,Q9NUJ1
Q8K4F5,Q8NFV4
Q99LR1,Q8N2K0
G3UZN6,Q7Z5M8
Q80UX8,Q7L211
Q922Q6,Q9BUJ0
Q8VCR7,Q96IU4
Q5F2F2,Q6UXT9
Q9Z1Q2,O95870
Q80YU0,Q9H3Z7
Q99JW1,Q96GS6
Q7M759,Q5VST6
Q8VCV1,Q6PCB6
Q8C1A9,Q0P651
Q9QXM0,P08910
Q91ZH7,Q8WU67
Q8VD66,Q8TB40
Q9DBL9,Q8WTS1
Q8R2Y0,Q9BV23
Q8R0P8,Q96I13
Q8CBW3,Q8IZP0
P62484,Q9NYB9
Q8BYZ1,Q9P2A4
A0A338P6S8,Q7Z7G0
Q80ZQ9,Q9NX38
P00520,P00519
Q4JIM5,P42684
Q8K4G5,O14639
Q8BL65,Q6H8Q1
Q69ZX8,O94929
P38649,P16442
Q5SSL4,Q12979
Q8BUZ1,Q8N0Z2
Q4KML4,Q9P1F3
Q8BPZ8,Q6UWZ7
Q3TCJ1,Q15018
Q9QYL7,Q9ULW3
Q99LJ2,Q969K4
Q7TQI7,Q8N961
Q6GQW0,A6QL63
Q921H8,P09110
Q8VCH0,P09110
Q8BWT1,P42765
Q5SWU9,Q13085
E9Q4Z2,O00763
Q8K370,Q6JQN1
D3Z7X0,Q6JQN1
Q80XL6,Q709F0
Q9D7B6,Q9UKU7
Q8JZN5,Q9H845
P51174,P28330
P45952,P11310
Q07417,P16219
Q9DBL1,P45954
P50544,P49748
Q61282,P16112
Q8K2H4,Q15027
Q6ZQK5,Q15057
Q6NXL5,Q96P50
Q8QZT1,P35610
Q8CAY6,Q9BWD1
Q80X81,Q9BWD1
Q8BMP6,Q9H3P7
E9Q289,Q8NC06
Q5XG73,Q5T8D3
Q9D061,Q9BR61
Q9D258,Q8N6N7
A2AIG8,Q96QU6
Q3UX83,Q4AC99
Q5EE38,Q96AP0
P09470,P12821
Q8R0I0,Q9BYF1
D0G895,
Q8R4X1,Q8TDN7
Q8VD53,Q5QJU3
Q9D099,Q9NUN7
P21836,P22303
Q9JIX8,Q9UKV3
Q9QUI6,Q16570
O08707,O00590
P56485,P25106
Q924I3,Q9NPB9
Q91V92,P53396
Q8R519,Q8TDX5
P28271,P21399
Q99KI0,Q99798
P54987,A6NK06
O55137,Q86TX2
Q9QYR9,Q86TX2
Q9QYR7,Q86TX2
Q6Q2Z6,Q86TX2
Q8VHQ9,Q8WXI4
Q9DBK0,Q8WYK0
Q9CQR4,Q9NPJ3
O55137,P49753
Q9QYR9,P49753
Q9QYR7,P49753
Q6Q2Z6,P49753
